speaker,words,tags,timestamp
Marge Culbert,"A medical waste incinerator on 72nd. The people in Dacono are having to fight it, they're trying to build them all over. All of a sudden they can't, can't do anything with the waste, and I say, well, Denver generates it. Denver should take care of it, which is fine if only the people from Denver go to the hospitals and the doctor's offices and the dentist's office. If nobody from North Glenn or Arvada or anything else visits our hospitals, that's fine. Then it is our waste, but it's not all of our waste, it's from the suburbs as well, and they're being hurt, they, they have, they have probably a lot to deal with too, and I would really say that they have to find out what's going on in their neighborhoods, that's the sad part, most of us don't know what's going on, they stick this stuff up, and we wake up one morning, and it's here. Then we have to try to live with it, and we don't want to live with this stuff anymore. We want them to clean it up, and hopefully there, as a result of the charrette, some things are going to get done, and that's good. And it was really appreciated, because they spent three days with us and listened to our complaints, both from the business people as well as the residents, and they're really trying to do something now. I hope they continue, because if they don't, we're right back where we started. They did this in 1983 and introduced a bill in the council that an ordinance in the council that they would review, that nothing could be done overnight, and of course we don't want it done overnight, but we want it started, and they were going to review it in five years until this incinerator thing came up, it was six years, they didn't do a thing about it until we start raising heck about this incinerator.",bio waste incinerator;incineration,0:21:31
Phil Hufford,What was the issue in the 1983 series of meetings?,,0:23:26
Marge Culbert,"Basically the same one we have now, all the the odor, and and we don't any place in town you drive up the interstate highway, and where there's residences, they have fences up for noise and pollution, and so on. We don't have one on on either 270 or I-70. There's no sound barrier, nothing. They got them around the industries, they got them around Purina, and they got them around the Coliseum. They don't have them around our residences, and those are the things they were complaining about in 1983 and we're still complaining about them in 1989.",,0:23:32
Phil Hufford,"Who was the city council representative from this area in 1983? Do you remember?",,0:24:12
Marge Culbert,"Sal Carpio, Debbie Ortega was his aide at that time, but it was Sal Carpio was, it was a council person, and then the other thing, and it's not hazardous or anything, but it sure ticks you off, as they want to assess my neighbors up to $2,700 a piece for a sidewalk over here on 52nd... 51st and the city spent $3 million putting sidewalks around the junkyard, because that's their property, and the sidewalks, their grass is growing up, and the sidewalks are broken, and it's got broken glass, and real interesting. 3 million. So totally all in all, I'm not too happy with with the politicians or the bureaucracies or anything else. We'll have to see what comes as a result of this of the charrette. We know what they promised us. Now, what they do is two different things, as you know. They promised that in '83 too.",,0:24:19
Phil Hufford,"Has the state gotten involved, and by that I mean, is Romer or Lamm or the state legislature or your state legislators gotten involved in this situation here?",,0:25:32
Marge Culbert,"I personally talked to Governor Romer twice. The first time was at a town meeting at North High School, and he was talking about education, and I asked him what he thought, what good he thought it was going to do to educate our children if they didn't live past 12, and I brought up the incinerator and the nuclear waste holding facility at that time, and Governor Romer said we let the city take care of the city stuff. Wasn't that interesting? How he helped the city take care of the airport, but then we had a meeting with him at the Capitol, and he didn't have time for us. He walked out of our meeting. He said he didn't know anything about it, and this was I talked to him about it at the town meeting a month before, and at that time he said he didn't know anything about it, and he had to sign a bill, and he walked out of our meeting period.",incinerator,0:25:46
Phil Hufford,How many people were at the meeting?,,0:26:43
Marge Culbert,"It was about five of us. There were five of us, as a matter of fact, as well as the governor and one of his aides. The man's name was Brad Brockman, was was there also, who was the governor's aide. And, but our representative has been fantastic, he's been a brick, Phil Hernandez, he's been to every one of our meetings, and he's just been right in there helping us, he went to the council meeting with us, he's just been, he's just been wonderful, I didn't vote for him, but I'm going to.",,0:26:43
Phil Hufford,Who's your senator?,,0:26:45
Marge Culbert,"Gallagher. And, and he has been to some of them, but not all of them, like Phil has. Phil has been to every meeting that we've had, every one of them. If it was with the health department, if it was with the council, if it was at the charette, whatever it was, he was there, and he spoke on our behalf. He's a good man, truly.",,0:27:24
Phil Hufford,"Tell me a little bit about the transportation of these WIPP sites, the waste isolation pilot plant nuclear wastes.",,0:27:52
Marge Culbert,"Well, they're planning on running from Rocky Flats. They're taking a secondary highway, I think it's 127 to 36 They're going to take 36 to 25 and trek it across 25 to the state line, and of course, then through New Mexico, and I believe they're going to trek it most of the way on I-25 even in New Mexico, the stuff from Idaho and the stuff from Utah will come all the way through our state, from Fort Collins to Trinidad on I-25 you know, we're the only, we're one of the few major cities that doesn't have a beltway around it. They're going to run it all the way through our downtown area, everything, and and the head of the governor's emergency preparedness, now get this, told us that if there was a fire, they could be there in 20 minutes. Do you realize that in 20 minutes, if the wind was blowing half, the city would have a 50/50 chance of having cancer, lung cancer, because it takes less than a part than a particle of a grain of salt to inhale that plutonium, and you've got a 50/50 chance of cancer, and he's going to get there in 20 minutes. Please. makes you angry, it's scary, and it makes you angry.",rocky flats,0:28:07
Phil Hufford,What do you think people can do about it?,,0:29:34
Marge Culbert,"Well, I think we all have to get together and tell them we don't want this stuff, and we don't want what they're doing. It was sad, because I went to the WIPP, the DOE hearing for WIPP, and there was about 25 of us there in the evening, 25 people. You have to care before we can do anything. More than one person has to care. All of us have to care. It doesn't just affect us. It's not just going to affect us in our neighborhood. It's going to affect the governor. The wind's going to blow his direction. The other problem is, is we're in an enterprise zone, and I don't know if you know what an enterprise zone is, but the state came out with this enterprise zone. Oh, this fall last fall sometime, and in the enterprise zone, they give them tax breaks, they help them with their health insurance, because they want them to build here.",,0:29:38
Phil Hufford,So the people building the incinerator are getting incentives from the state to build the incinerator?,incineration,0:30:35
Marge Culbert,"You got it. The state or the city, it, but it's an enterprise zone, and it's, it's around the city, so I imagine it's a city enterprise zone, as opposed to a state enterprise zone, although, who knows, the governor goes to Japan and stuff, trying to get all this business here, so who knows who, who decided it was an enterprise zone, but it definitely is an enterprise zone, and I, and part of the enterprise zone is civic center, our civic center downtown, and I asked the governor's aide how he would like to have the incinerator in his enterprise zone in his backyard. He excused himself from the meeting.",,0:30:41
Phil Hufford,"Tell me a little bit about the refinery, the effects of the refinery in Commerce City, that big Conoco refinery that you drive by on was it I, I-76 or I-2 270 I",,0:31:26
Marge Culbert,"270. Well, they're they're putting out quite a bit of toxic waste. They're",,0:31:41
Phil Hufford,So you tell me a little bit about the refinery.,,0:31:53
Marge Culbert,"Well, they're putting out a lot of toxic hazards, they're putting out so sulfuric acid and manganese. I still can't say it.",,0:31:58
Phil Hufford,"Manganese, it looks like manganese.",,0:32:09
Marge Culbert,"Yeah, say it for me. Menthol, which is alcohol, trichlorothane, freon, xylene, and ketone, and they're all health hazards. Some of them are carcinogens, and and cause fevers and chills and gastrointestinal distresses, and and eye irritations and nosebleeds and coughs and respiratory distress and erosion of teeth, isn't that interesting. Serious damage to the lining of nose, throat, and lungs. They're putting out a bunch of it per year.",,0:32:12
Phil Hufford,"Do you frequently get odors or fumes from that plant?",,0:33:04
Marge Culbert,"Yes, we can smell, many times. We can smell, it smells like our gas is leaking in the house. You run around and check the house to make sure that nothing's going to blow up, and you can look at the, you can look at the front yard. This morning was a good example, and when they burn it off, they, they have a real high flame and black, black smoke blow it all over everything.",,0:33:09
Phil Hufford,"Well, I'm afraid I'm going to have to go here, but I want to thank you for sharing your time with me and giving me some insight into what's been going on here.",,0:33:38
Marge Culbert,Thank you. ,,0:33:50
Phil Hufford,"All right, today is Wednesday, July 5, and I am talking with Paula Elofson-Gardine, and we're going to be talking about Rocky Flats, and who knows what else.  Perhaps, perhaps we should start with the extent of the contamination that exists around Rocky Flats, and here I'm thinking of the soil contamination in particular, but you might want to just fill our listeners in on some of the other types of contamination also that exist outside the perimeters of the plant itself.",rocky flats,0:34:05
Paula Elofson-Gardine,"Okay, first of all, I'd like to state that I'm the director for Concerned Health Technicians for Cleaner Colorado. The reports that we have researched and compared with different sources have indicated that the contamination is extremely severe. We've had people from other contaminated areas tell us that our contamination here makes Three Mile Island look like National Park Service land, and I tend to believe that at this point, where the state standard for plutonium in soil is two disintegrations per minute, that is a radiological measure of activity per gram of soil, and this was arbitrarily set by an unqualified individual at the time to be that of 25 times background level, and this is basically to protect industry rather than the public. Despite that particular issue, the contamination levels off site at Rocky Flats from EPA information 12 years ago is 10 times that of the off-site contamination at the Nevada Test Site Area, and I think that that's enough to startle almost anybody. The state standard is a particular issue because, as John Gofman and Alice Stewart and many others have testified to there are no safe levels, at least to set any particular standard greater than background is ludicrous, and that there is a serious issue here, in that there should not be legally permissible levels of pollution, is what Dr. John Gofman is very concerned about this ties in with how hot is hot out at the plant. Some of the areas that are close to off site near the east fence by Indiana Street are severe enough that it is up to 8000 disintegrations per minute per gram of soil. This is we mainly plutonium, and that is certainly not the only toxic that they deal with out at the plant. They have quite a number of transuranics and volatile organic compounds. Those concentrations are out of this world in the 881 hillside area. This is an extreme concern because of the VOC plume going towards the reservoirs, and this is a prime concern, as far as EPA is concerned, that they want to see cleaned up. The other areas that are extremely hot, one of which is the solar evaporation ponds, have been used for process waste and act as a concentrating mechanism as this waste is evaporated. The sludge from these evaporated ponds is what they have used to make their pond crete out of this is a quaint little term they like to use because this is the sludge out of the ponds, so we'll mix it with concrete and call it pond crete. Well, this is the stuff that they had numerous accidents with in spills, and it was interesting to note, in reviewing the solar evaporation reports, that they had contamination in that sludge that was in the vicinity of 1,892,000 disintegrations per minute, I fail to see how that qualifies as low level radiation.",rocky flats,0:34:54
Phil Hufford,"When you say pond crete, are these solid blocks or is this a slurry, or what is that?",rocky flats,0:38:26
Paula Elofson-Gardine,"They were intended to be solid blocks, but Rockwell had a problem with their recipe for concrete, and it ended up being the consistency of mayonnaise, which is why the containers collapsed and fell all over. Well, they only had a couple of them fall, but they had a significant problem with, I'd say, somewhere around 10,000 of these blocks that they were trying to make, then these triple layer cardboard boxes lined with plastic and it's just, it's laughable how they mismanaged it, and it's tragic at the same time that in asking them about decontamination procedures after spills, they very blithely laughed it off as it's no big deal, that stuff is pretty innocuous, we just threw a bucket of water on it, and it's decontaminated now, and we found that to be incredible, that they have such a lackadaisical attitude about what they're working with and how serious it is. ",rocky flats,0:38:34
Phil Hufford,"So, what happened to all of this on the plant? Was it shipped off site?",rocky flats,0:39:31
Paula Elofson-Gardine,"The concept was to solidify it and send it off to another storage facility, and they have begun shipping it out at this point. Those that have been stabilized, there is a problem with volatile organics in this particular sludge in this form that they're trying to make, and you cannot get solid concrete with volatile organics, so that is one of the problems out there. The liquids in these ponds have contamination in the vicinity of 123,000 disintegrations per minute, so you can see this stuff likes to cling to sediments and soils. The far greater hazard out there at the plant that is available to the public is the resuspended transuranic dust. This hangs in the atmosphere because of the unique characterization of this site. They have, excuse me, a complexing chemical complexing of plutonium with the volatile organics. This is chemicals like carbon tetrachloride solvents they use to clean machines, lathe oil, all that kind of stuff. And what happens is that as the stuff degrades and it's in the atmosphere, it creates a form of dispersed plutonium that can pass easily through any filters that are point 01 micron in size, and it's quite startling to many of the scientists that we discuss this with, because it tells them that it is so easily dispersed and so serious that it is much lighter than the atmosphere, so it remains hanging in suspension in the atmosphere out there in pretty great concentrations with levels between 4,000 and 8,000 disintegrations per minute, and the problem we have here is that this remains available for human ingestion and inhalation pathways.",rocky flats,0:39:35
Phil Hufford,"So this is an ongoing process. I mean, these particles are being emitted as we speak, and are being blown over the Denver metropolitan area. Is that right?",rocky flats,0:41:39
Paula Elofson-Gardine,"That's precisely what's happening. They have a number of different kinds of incinerators out there, and they emit on a daily basis, regardless of inversions or anything else, one of the more serious problems out at the plant is what has already been put out into the soil, the 903 pad, where they in the past had such poor grasp of what they were doing out there that they literally were just dumping this stuff, and this is a large amount of where some of this resuspension originated from, and it is a horrible mess out there that people need to stay away from.",rocky flats;incineration,0:41:52
Phil Hufford,"How extensive is the contamination, the airborne contamination. How far does that reach? I mean, is most of it hit hit the ground around Arvada or Westminster, or does it go to Washington DC? What, what is the pattern of this contamination fallout?",rocky flats,0:42:34
Paula Elofson-Gardine,"Well, the fallout, the problem is it does not settle out. Like I said before. It remains clinging into the atmosphere, it clings to air particulates, making our brown cloud radioactive. I conferred with a meteorologist about this, and his feeling was once it's been atmospherically dispersed around the primary area, which I'd say we all get it pretty much, not in such heavy concentrations. It is going to be more dispersed. It's like stray bullets, you might get it, you might not. But his feeling was that as the greater winds aloft go, they probably have a greater concentration of this ending up in Greeley and Fort Collins.",,0:42:59
Phil Hufford,"Really, really, it's not necessarily the Denver metro area that's getting the brunt of it then.",,0:43:43
Paula Elofson-Gardine,"Well, we certainly get our major share of it, but as the particulates and the emissions go higher up into the atmosphere, it's carried farther up the valley, but we do have a concentrating effect because of our unique topography here.",,0:43:50
Phil Hufford,"So, the bulk of the emissions are coming out of the top of smokestacks out there? Or, what are the sources? Ground level?",incineration,0:44:10
Paula Elofson-Gardine,"Well, you have both, I guess, for lack of better terms, you could call them smokestacks, but they're much more sophisticated than that. This goes into issues about the HEPA filters and their supposed efficiencies, that is touted by the DOE, the Department of Energy, but they are found to be grossly deficient because of the size of the particles that pass on through, and the alpha recoil effect, which energizes the particles, and then they go out with much greater force. So you have a number of different issues that come into play there about what really is coming out of the stack, and this is something that does get into the upper atmosphere. I'd say the monitoring system out there is a joke. It is completely and wholly inadequate. Having perimeter samplers, obviously, if this stuff is going out at several hundred feet over the ground, it's not going to settle out till it's far past those monitors.",,0:44:19
Phil Hufford,If you would go into a little bit more detail on this alpha recoil effect.,,0:45:21
Paula Elofson-Gardine,"The best that I could do would be to quote a friend who's been involved with the issue, Agua Das, in his testimony to the Ahearne Commission, which was the Advisory Committee on Nuclear Facility Safety, back in March of '89 he described the alpha recoil effect to these physicists, and they loved it. He talked about the filtering and sampling methods, and the limitations... that an alpha particle is like a helium nucleus, it's big and it travels with a lot of inertia, like an elephant shot out of a slingshot, and that it has a tremendous amount of momentum that is imparted, like jumping out of a boat, and the momentum that is imparted is capable of fracturing small submicron particles off particles off the surface of a piece of plutonium metal, also any spills they have that dries up the alpha disintegration can re-entrain those materials from the dried spills. This, these little submicron particles that are splintered off make it through those filters with the greatest of ease. Okay, that's the point. That the filters are inadequate, they're supposed to be quote 99.99% effective, but the simple fact is it's like shoveling a bunch of gravel down a big hole. This stuff gets right through, and it's the respirable variety that's really dangerous to human life.",,0:45:28
Phil Hufford,"These ponds, is there any evaporation of transuranic material from the ponds or volatile organic compounds from these solar ponds?",,0:47:06
Paula Elofson-Gardine,"Well, I understand that there's been problems with cracks in the liners, that there has been seepage from these ponds. This is a big problem that is a concern to EPA, and I have to assume to the CDH as well, although I have my doubts that this has Colorado Department of Health, we have some deep concerns about their role in the situation here, that they have not protected the public health as they should have. I think that it's been a problem in their radiological division with having qualified people. We're very concerned that the state standard was set by an individual who was not a radio biophysicist and someone of the stature of Dr. Edward Martell would have been more appropriate to be the person to take care of that particular issue. The plume they have from the solar evaporation ponds I would consider to be hot waste and it's something that they don't have a handle on at this point in time, and the Newsweek reporter saying that this was like a creeping Chernobyl, I believe, is absolutely on the button.",,0:47:22
Phil Hufford,"Now, when you say a plume, what are you referring to here?",,0:48:35
Paula Elofson-Gardine,"Well, this is what people call, okay, if you watered your, your lawn, and you hit a dry patch, and you had liquid going down into the dirt, you'd have kind of like a head to it, okay, where you have the beginning part of the wetness that goes down into the dirt, it's like that, it's a plume of wetness or a plume of chemicals.",,0:48:38
Phil Hufford,"I see, so you're talking about a plume of water or of waterborne waste, as opposed to an airborne plume of particles.",,0:49:03
Paula Elofson-Gardine,"Yes, you can have a number of different ways of utilizing that term. Plumes in the air, we've conferred with meteorologists about what they're putting out and where it goes, some of this stuff does settle out on the reservoirs and around the land around the plant, and it's just this place does not belong near a large community. I'm not sure if it belongs anywhere from that point matter, but it is such a huge mess. It's been basically an unregulated, filthy smelting operation that deals with extremely dangerous and toxic radionuclides and other substances for over 35 years, and we see the results of that. It may take decades to clean it up, the clean up may be worse than the original pollution, because of the resuspension and the problems kicking up all of this contamination once again. So, we've only seen the beginning, and the first point of this is, they must close that place. As long as they continue to operate and add to the pollution. They're making it that much harder to clean up. You can't have cleanup as long as they're continuing to emit.",,0:49:11
Phil Hufford,"Can you speak a little bit more about role of the Colorado Department of Health in monitoring and controlling the plant? Have there been any violations of permits, are there any permitted releases of materials? You might talk a little bit about the drinking water supplies, Standley Lake, Great Western Reservoir.",,0:50:28
Paula Elofson-Gardine,"Okay, we have hazardous materials division and radiological division people that have been, let's say, studying the issue. I would never say they are controlling the plant. I believe it's been uncontrollable for many years, too many years. The soil sediment and studies done on Standley Lake showed that it is a problem, they have, they have significant amounts of contamination in the sediments, you have lake turnover that happens twice a year, and all of this stuff is resuspended in the water. I believe that these bodies of water, Great Western and Standley, should not be used ever for public drinking supplies. I think that the current water sampling is inadequate. I think that if they do not have measurements from the source, they don't really know what's out there or where it's gone to, and the sediments play a very stringent role in that, in the banks, and in the actual sediment of the lakes, we have had discourse with people from the School of Mines that have studied it, and they've been very alarmed at it. We've also talked to people at Argonne National Labs who have knowledge of the situation out here, and they say these are the most polluted waterways in the country, and they are very alarmed at the levels that are out here, and I frankly do not believe the information the health department is releasing on what they say they're finding. There's something very wrong with this picture.",,0:50:59
